time, LA.q_in.pressure  , LV.q_in.pressure   , AOV.q_out.pressure, LV.excessVolume
0.0 ,  832.0242727572896,   787.2888199071998, 10464.093515438186, 0.00012127562386
0.03, 1048.3754887976995,   939.5446645537112, 10252.406938029277, 0.0001282730623089
0.06, 1332.5681278100735,  1224.0179171356358, 10046.907562466986, 0.0001388457413049
0.09, 1493.4884886222994,  1451.9707098842057,  9845.964085886137, 0.0001457274366926
0.12, 1465.2576532143246,  1496.3924661350684,  9649.673084249613, 0.0001469456168214
0.15, 1222.3082960876536,  1496.4034536108757,  9457.883755655716, 0.0001469459137685
0.18,  854.6687706628961,  3059.054649586368 ,  9270.42325800824 , 0.0001469461515717
0.21,  596.6978968695122,  7406.345595851955 ,  9087.07451645677 , 0.000146946143318
0.24,  696.9123526859505, 12803.243667861218 , 12642.997417429684, 0.000139531827132
0.27,  811.4453653657457, 15873.832546427831 , 15647.900950987048, 0.000116340253599
0.3 ,  878.4955801030262, 16358.6405275469   , 16181.8828341697  , 9.302999944622614e-05