time, DV   , Ecg.ecg               , EithaPressure.pressure, TotalCompliance, arterial.pCO2     , arterial.pH       , arterial.pO2     , arterial.sO2     , arterialPressure.diastolic, arterialPressure.systolic, cShuntFrac, currentHeartReat.y, filter.y, lungs.q_in[1].m_flow , lungs.q_in[1].p, tissueUnit[1].pH , venous.pH
0.03, 150.0, -0.0002748944267857094,     10992.072130929664,            60.0, 41.54601342424059 , 7.386813638182834 , 88.28859643286061, 97.24980453762375,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 7.311116490125942, 7.311077780765383
0.06, 150.0, -0.04492699016858519  ,     11174.243788973952,            60.0, 41.5459792375735  , 7.386814144549044 , 88.28873012607293, 97.25394124350593,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 7.311162674749597, 7.311077890952251
0.09, 150.0, 0.09391107483122973   ,     11211.57753859082 ,            60.0, 41.54592410880801 , 7.386814830781563 , 88.28895757598221, 97.25808786451816,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 7.311213203151935, 7.311078070289935
0.12, 150.0, 0.12156642803777105   ,     11108.402425035893,            60.0, 41.54584895179857 , 7.386815672690521 , 88.28927724521272, 97.26226404865496,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 7.31126589542665 , 7.311078304403764
0.15, 150.0, -0.06792028292240798  ,     10950.877350509953,            60.0, 41.545753378058386, 7.3868167032000915, 88.2896924499043 , 97.26641286035768,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 7.311324349416355, 7.311078623575305
0.18, 150.0, -0.13428007577559206  ,     10805.86015340274 ,            60.0, 41.545635962894835, 7.386818000874392 , 88.29021049603783, 97.27057748703224,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 7.31139689569339 , 7.311079101403944
0.21, 150.0, -0.002736133179929739 ,     14856.19579533668 ,            60.0, 41.54549953332817 , 7.38681945894618  , 88.29082007134748, 97.27466504075443,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 7.311472328976286, 7.311079658263709
0.24, 150.0, 0.0013245833823567533 ,     16677.24176143916 ,            60.0, 41.545345047112185, 7.386821050060498 , 88.291519198245  , 97.27874941987855,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 7.311548640617539, 7.311080285545552
0.27, 150.0, 0.0019441166985814224 ,     16284.300629371603,            60.0, 41.545173257905105, 7.386822758080356 , 88.29230522100187, 97.28280941883936,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 7.311623759184959, 7.311080959642431
0.3 , 150.0, 0.004677504016798223  ,     15080.715349465478,            60.0, 41.54498454324445 , 7.386824581347841 , 88.2931786960578 , 97.28689043970992,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 7.311697970304738, 7.311081684475997